class,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,23x,23y,23z,24x,24y,24z,lshoulder,rshoulder,lelbow,relbow
turn_left,0.615167558,0.521614015,-0.022492623,0.415757567,0.507613838,-0.025292266,0.754158795,0.54425019,-0.28639251,0.28332448,0.486251682,-0.04071606,0.743457854,0.358648956,-0.633323193,0.142499,0.450671881,-0.23399353,0.58315444,0.904056251,0.005889573,0.455951929,0.902306259,-0.00447194,106,122,103,5
turn_left,0.615093529,0.521606565,-0.019265583,0.415802091,0.507515967,-0.02535071,0.753964067,0.542939544,-0.253026515,0.283414543,0.486255616,-0.036624007,0.750930309,0.358596385,-0.593165398,0.142435789,0.451007992,-0.225971818,0.583013117,0.904028296,0.005811621,0.45594269,0.902266681,-0.004384872,107,122,100,5
turn_left,0.615178466,0.521570981,-0.013430404,0.415853024,0.507624149,-0.033890221,0.753808439,0.540172338,-0.231822968,0.283410907,0.48625204,-0.07601089,0.759345233,0.355382383,-0.55532372,0.142360315,0.452067196,-0.288051128,0.583181083,0.903952479,0.009978165,0.455994755,0.902264714,-0.008589529,107,122,96,4
turn_left,0.6151582,0.521568835,-0.014438582,0.415972292,0.507559001,-0.037391253,0.753719032,0.540076911,-0.229885027,0.283569574,0.4863621,-0.059741043,0.761333823,0.355614513,-0.559305906,0.142481074,0.45339781,-0.24843511,0.583183706,0.903820217,0.011102642,0.456000865,0.90213567,-0.009646005,108,122,95,4
turn_left,0.615235507,0.521283925,-0.028368836,0.416050345,0.507532001,-0.036468126,0.753685117,0.540542305,-0.296608061,0.283655703,0.486518711,-0.052194744,0.73978883,0.35592097,-0.662440419,0.143631428,0.454826355,-0.240877435,0.583209395,0.903722465,0.008252561,0.45600763,0.902086616,-0.006806401,107,122,102,4
turn_left,0.615933299,0.521237075,-0.058561735,0.416335046,0.507616103,-0.034754597,0.754407406,0.543065488,-0.365956694,0.283938497,0.486396909,-0.048367277,0.712375879,0.359956115,-0.739119053,0.143677399,0.454883426,-0.232399657,0.583211541,0.903721631,0.001905977,0.455967575,0.901973665,-0.000491543,106,122,112,4
turn_left,0.616233051,0.52106595,-0.057216186,0.416604906,0.507664561,-0.025485154,0.754842639,0.543944955,-0.369639367,0.284249306,0.486042023,-0.042885438,0.702912986,0.362503588,-0.742468536,0.143656105,0.454577774,-0.219219163,0.583212018,0.903778136,-0.00172539,0.455967039,0.901917219,0.003004679,106,122,115,3
turn_left,0.61673671,0.521017432,-0.063300803,0.417101324,0.507670283,-0.025780484,0.75544399,0.54474014,-0.369265378,0.284722567,0.485926241,-0.038878504,0.702693403,0.364669621,-0.740674853,0.14348954,0.454275727,-0.214985773,0.583254516,0.903560281,-0.002400628,0.455985248,0.90175736,0.003744949,106,122,116,3
turn_left,0.616636038,0.520468354,-0.057810627,0.417118371,0.507822871,-0.035069309,0.754726648,0.543171585,-0.344228983,0.284690022,0.485992521,-0.047212347,0.70964998,0.363657802,-0.706349254,0.143712491,0.455141932,-0.233771324,0.583315134,0.903577089,-0.002020558,0.456024081,0.901852787,0.003383469,106,122,113,3
turn_left,0.616287231,0.519951582,-0.054994781,0.417138994,0.507814169,-0.047345988,0.753933787,0.541743398,-0.332095057,0.284743905,0.486399144,-0.068059772,0.714121521,0.36132586,-0.701873958,0.144103259,0.456057489,-0.263747334,0.583282828,0.903262317,-2.63E-05,0.455964029,0.901733816,0.001474595,106,122,111,3
